	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
BL02070	1892	2135	988	223
SPOIIE	1892	2527	988	150
CELM	1892	3424	988	73
YEIM	1895	1763	985	350
SCLAV_5083	1895	2361	985	177
MUC13	1897	1274	984	717
CIMA	1898	1838	983	318
PING_0001	1898	8686	983	0
VEX2	1900	2038	981	250
BMUL_5533	1901	1527	980	493
LLO_1103	1901	8686	980	0
YJJI	1903	1410	979	585
PRSA	1904	1833	978	320
RSUA	1904	2174	978	216
YRRT	1906	4291	974	44
SEPP1	1907	1206	973	795
TUAG	1908	4712	966	36
YCCF	1909	1163	965	842
YQXK	1909	1471	965	538
YHFE	1909	1585	965	452
SACY	1912	3817	964	57
CSCK	1913	1910	963	292
MNOD_0308	1914	1878	961	303
TRAA	1915	805	960	1715
BMUL_4863	1916	1663	958	404
ASNC	1917	1477	957	533
DEF2	1917	1978	957	268
INSI	1919	5690	955	24
HYAA	1920	1083	952	945
AROQ	1920	1569	952	468
YHCC	1920	2219	952	205
NLPD	1923	3965	951	52
YJHA	1923	5690	951	24
LPXH	1925	3471	950	71
NUON	1926	2451	946	162
ARSC	1927	1340	945	645
LACS	1928	1256	944	738
GEOTH_0480	1928	2243	944	199
YFMM	1930	1040	942	1011
SPD	1930	1250	942	744
SCLAV_3728	1932	2123	940	226
NEUC	1933	1700	938	386
BLTR	1934	3931	937	53
YITW	1935	3250	933	83
DHAL	1936	2184	932	213
CES2	1937	1270	931	723
SP_0204	1938	8686	930	0
DALK_0234	1939	8686	929	0
BDI_0121	1939	8686	929	0
RFBX	1941	7629	928	11
TRAA2	1941	8686	928	0
MRDA	1943	1693	927	390
OPUCA	1943	1710	927	376
METI	1945	2369	924	176
VANY	1946	8686	923	0
DUOX2	1947	1231	922	768
KCE	1948	1365	921	621
CAH	1949	1980	919	267
NHAC-1	1949	3351	919	77
NUOM	1951	1377	918	608
SLC26A3	1952	1164	917	841
HUTI	1952	1341	917	642
CSD2	1954	1294	916	695
LPXK	1954	4073	916	49
YOJN	1956	1384	915	602
ATHE_0092	1956	8686	915	0
ABGA	1958	1254	914	740
PILC	1959	3208	910	85
POTB	1960	1190	909	815
YDJG	1961	2211	907	206
DSY1426	1961	8686	907	0
PATATIN	1963	7814	906	10
RAGB	1964	8686	899	0
NQRF	1965	1052	896	987
MENB	1965	1083	896	945
YRBE	1965	2375	896	175
HORE_01535	1965	3046	896	97
SIGV	1965	8686	896	0
CPSY	1970	1734	895	365
SERA2	1971	2506	891	153
YHAN	1972	2168	890	217
CAPM	1973	1984	889	266
SP_0483	1974	2154	888	220
LPLA	1975	1910	886	292
DALK_0900	1976	8686	883	0
POTC	1977	1376	882	610
LGALS4	1978	1354	881	633
CELB	1979	1768	880	346
SCLAV_1770	1979	2033	880	252
RV1042C	1979	2074	880	240
MTLA	1982	1682	876	395
RIBE	1983	1889	874	299
YVDE	1984	8686	873	0
MTNA	1985	1287	872	703
ACRA6	1986	2142	871	222
PGN_0053	1987	8686	870	0
DACA	1988	4441	868	41
FUCA1	1989	1317	861	669
SCPB	1989	1347	861	639
AXE1	1989	3488	861	70
SSCG_04708	1992	3338	860	78
YABC_1	1993	3226	859	84
BAS4715	1994	8686	858	0
SPOVAF	1995	1483	856	528
GLYS	1996	1705	855	380
VV1_2482	1997	1686	853	393
PORU	1998	8686	851	0
PHNW	1999	1503	849	513
MAE_06150	2000	1331	847	653
DEGT	2000	1743	847	361
TRL1	2002	1183	844	823
VEG	2003	1786	843	337
SP_0791	2004	2431	842	165
ELI_3180	2005	8686	841	0
NARH	2006	1477	840	533
CCL	2006	1571	840	462
CCHA	2008	1280	839	712
LACA	2009	1531	838	491
CWLC	2009	8686	838	0
HIGA	2011	2357	837	178
GTCA	2011	8686	837	0
GPMB	2013	2780	836	120
MOD	2014	1170	835	834
LIPA	2014	2567	835	144
SCLAV_3789	2016	1141	834	871
KORA	2017	1755	831	352
ALKA	2017	3301	831	80
YDED	2019	2936	826	105
TRMFO	2020	1012	825	1072
YFIC	2020	1590	825	450
PFOR	2020	1673	825	399
YGIW	2023	4073	824	49
MOAA	2024	4600	823	38
GLXB	2025	1036	822	1022
HYPB	2025	1406	822	587
LYXK	2025	1434	822	566
KDSB	2028	2300	820	190
BA_0689	2029	1402	819	588
SPL	2029	2506	819	153
SIGI	2029	8686	819	0
RSME	2032	2482	818	157
HEML	2033	1523	816	499
FRLB	2034	1297	815	692
THYX	2034	2065	815	243
OPPF2	2036	1174	814	828
YTET	2036	4199	814	46
PLDA	2038	3900	811	54
DET0272	2039	1826	810	323
ISPB	2039	3318	810	79
PAAY	2041	2258	809	197
SPOIIIAH	2042	3931	808	53
DINB	2043	1863	807	310
PST_0552	2044	8686	806	0
FUCU	2045	1116	804	903
WXCM	2046	1777	802	341
SCRR	2046	2274	802	195
MGTC	2048	2881	801	110
COMEA	2049	7814	799	10
ATP12A	2050	1217	798	781
YISQ	2050	2559	798	145
PMT	2050	3208	798	85
CYTB	2053	1136	794	877
RHUM	2053	1281	794	709
TYRA	2053	1514	794	505
HYDE	2056	1370	792	615
YRHG	2057	8686	791	0
NSPC	2058	1845	790	316
LBUC_0028	2058	8686	790	0
SPEF	2060	1543	789	486
ATP_00026	2060	1622	789	430
HDRE	2062	1439	782	561
PGN_0102	2062	7814	782	10
YNII	2064	1953	781	278
RODA	2065	1324	775	659
BMUL_3461	2065	8686	775	0
TSPAN1	2067	1626	774	425
SP_1365	2067	8686	774	0
FTCD	2069	930	773	1293
DAP2	2070	5805	772	23
TMZ1T_2090	2071	2084	771	237
GAPDH	2072	1010	770	1079
DRED_0139	2073	1245	768	752
RLFA	2073	5148	768	30
FLIO	2073	8686	768	0
NQRB	2076	2081	766	238
DKSA	2077	1719	764	373
YCSG	2077	1822	764	324
CP_0141	2079	1157	760	853
RUMAL_0153	2080	2604	758	140
YWHH	2081	1783	757	338
RESA2	2082	2811	756	117
SIGG	2083	1102	754	914
ARSR	2083	1321	754	666
XYLE	2083	1597	754	445
BL02338	2083	1838	754	318
DPPD	2083	2258	754	197
LRP	2088	8333	753	7
AEPY	2089	1777	752	341
INSF	2089	2112	752	229
YHDG	2089	8686	752	0
CLP_0001	2092	1298	751	691
SP_1935	2092	3373	751	76
BL05010	2092	8686	751	0
CAS1	2095	1598	750	444
ISEU	2096	1507	748	510
LMO7	2096	1548	748	483
BGXA	2098	1734	747	365
CODA	2099	1702	746	383
GGAB	2099	8686	746	0
LAPB	2099	8686	746	0
PPAX	2102	6433	743	18
COBA	2103	3872	742	55
TMEL_1120	2104	3226	741	84
AARA	2104	4341	741	43
FBPC	2106	1203	740	798
SP_2145	2107	1959	739	276
Y0551	2107	2315	739	187
LSA	2109	1443	738	560
BL00174	2109	7814	738	10
FABI	2111	1236	737	761
Y0750	2112	1579	736	455
CPSJ	2113	5230	734	29
YULB	2114	2451	733	162
GLGE	2114	2947	733	104
BAS2305	2114	5585	733	25
CAP5M	2114	6950	733	15
DAPE1	2118	1198	732	806
WLBA	2118	1212	732	785
CBC4_1048	2118	4658	732	37
BMUL_4061	2121	1439	731	561
DCD	2121	1815	731	327
MYO15B	2123	1014	730	1069
BMUL_0125	2123	8686	730	0
SIGL	2125	8686	729	0
HEMA	2126	1972	726	271
RFBP	2126	2164	726	218
NHAD	2126	2575	726	143
ISCR	2126	3268	726	82
RLIC	2130	4600	725	38
SP_1691	2130	8686	725	0
TATC	2132	5230	724	29
GNTP	2133	1833	722	320
VPA1172	2134	6950	721	15
CAT2	2134	8686	721	0
PDUB	2136	1741	720	363
SRLD	2137	2049	719	247
THID	2137	2062	719	244
PELA	2137	3411	719	74
YKGE	2140	8686	717	0
MLOB	2141	2274	715	195
GLTT	2142	2194	714	211
QUEG	2142	3129	714	91
YFNB	2144	3596	713	65
HRM2_33600	2144	8686	713	0
CKL_2970	2146	1494	712	519
CAUL_0397	2146	5072	712	31
GSMT	2146	8686	712	0
AGAF	2149	1551	709	480
NUDC	2150	2011	708	256
PKM	2151	1362	706	624
ATOA	2151	2234	706	200
ROCA	2153	1017	705	1064
HSLU	2153	1626	705	425
PCP	2155	2322	704	185
SPV1_03468	2156	1959	702	276
TRAG	2157	850	701	1550
PDXB	2157	4441	701	41
ARAC8	2159	2009	700	257
IAAA	2159	2522	700	151
YCGK	2161	2575	698	143
LRGB	2162	1599	696	441
YBAJ	2163	1850	693	315
BA_5136	2163	8686	693	0
FLIJ	2165	8686	692	0
BPLE	2166	4073	691	49
NBCG_01826	2167	8686	690	0
NDVA	2168	1220	689	774
BMUL_2073	2168	8686	689	0
SP_1331	2170	2987	688	101
TTUD	2171	1895	687	298
DSP	2172	1101	686	916
NOC	2172	2274	686	195
AVIN_17150	2174	8686	685	0
ORD	2175	1157	683	853
FESA	2175	3373	683	76
CDHR2	2177	1295	682	693
ATPASE	2177	2112	682	229
MTFB	2177	4291	682	44
RHAD	2180	1392	681	594
MAQU_3187	2181	2458	680	161
BL02555	2181	2585	680	142
COBT	2183	3395	679	75
PGN_0103	2184	4546	678	39
MT0322	2184	7463	678	12
YIDD	2186	923	677	1319
CYSD	2186	1107	677	909
PGLJ	2186	8686	677	0
QUEE	2189	3111	676	92
FRHB	2190	8686	675	0
YPWA	2191	1517	674	504
TPET_0488	2191	8686	674	0
ALLD	2193	1088	673	936
AGRA	2193	8686	673	0
IFIT1B	2195	1256	672	738
SPMB	2195	2738	672	124
AGAR	2195	5585	672	25
LUXE	2198	2684	671	129
YFBM	2199	3509	670	69
PSPE	2200	5923	668	22
RPIR2	2200	6180	668	20
PORC	2202	1227	667	770
PGLB	2203	1452	666	553
MANN	2204	895	664	1400
PPX3	2204	4712	664	36
ABIR	2204	7283	664	13
UBIE	2207	3411	663	74
MYH14	2208	1274	661	717
SPOVFB	2208	1766	661	348
BL02462	2208	6027	661	21
YULF	2211	2473	660	158
MT0627	2211	2491	660	156
SSCG_01475	2211	8686	660	0
SRU_0631	2211	8686	660	0
TLL0240	2215	1370	659	615
CPS4C	2215	5690	659	24
HICB	2217	4291	658	44
GLL1611	2217	8686	658	0
SP_0319	2219	1187	655	818
BLL4869	2219	8686	655	0
CTHE_0913	2221	4249	653	45
LIPO	2221	5230	653	29
LYTT	2223	3208	652	85
CDH1	2224	1330	650	654
AGAR1	2224	1380	650	604
SCLAV_4550	2224	8175	650	8
SUFE	2227	2559	649	145
HK01	2228	2004	648	259
MNGB	2228	2315	648	187
TAG	2230	1522	647	500
QACE	2230	1661	647	405
YEFM	2230	6180	647	20
ERH_0171	2233	2717	646	126
DPPA	2233	2759	646	122
BIOY	2235	2401	645	171
YLMC	2235	2482	645	157
STRIC_0432	2235	2906	645	107
MCON_1020	2235	8686	645	0
SGAB	2239	5072	644	31
FABG6	2240	3560	642	67
HTRB	2240	4985	642	32
SCE2282	2242	1188	639	816
NUCA	2242	4658	639	37
DEOR	2242	5923	639	22
NDHG	2242	8686	639	0
HYFB	2246	2482	637	157
NAIP	2247	1208	636	794
GLPG	2248	2936	635	105
SGLY_0561	2249	2431	634	165
XCC1636	2250	4839	633	34
YTFH	2250	7463	633	12
XYNA	2252	2458	631	161
RFFM	2252	3033	631	98
AMAB	2254	1177	630	826
LBYS_0348	2255	1658	629	409
BA_1953	2256	3931	627	53
YBXF	2257	7989	626	9
YJAD	2257	8686	626	0
EEF1A1	2259	2009	624	257
NORM	2259	2671	624	131
UGTP	2259	5230	624	29
BT_0485	2259	8686	624	0
YPBR	2259	8686	624	0
THIN	2264	2610	623	139
HYAC	2265	1162	622	847
KRT20	2266	1319	621	667
PBPC	2266	1686	621	393
RNJB	2268	1276	620	716
SCLAV_0589	2268	2616	620	138
CYCMA_3505	2270	3318	618	79
BL03097	2271	993	617	1117
AEPX	2271	2006	617	258
SCLAV_5477	2273	8686	616	0
RELE	2274	1139	615	873
CYSC	2275	3999	614	51
SCLAV_3727	2276	1202	610	800
YUGI	2277	1119	609	901
UXAA	2278	1137	607	876
ASRC	2279	1243	606	754
AAT	2280	2045	605	248
YBBL	2280	7103	605	14
Y0553	2280	7989	605	9
PGMB	2283	2049	602	247
YWOG	2284	3226	601	84
DHDH	2285	2445	600	163
CPSD	2285	2684	600	129
YCBB	2287	2881	599	110
CPS4A	2287	3301	599	80
GALA	2289	2199	598	209
VIRD4	2290	1350	597	638
CLOSI	2290	3318	597	79
XYLR-1	2290	7463	597	12
PGSA2	2293	3096	596	93
YRRM	2294	1898	595	296
COBC	2294	6433	595	18
MNTH	2296	1453	594	552
SPOU2	2297	1726	593	368
NUOL2	2297	2018	593	255
XDHD	2299	1463	592	544
ARSA	2299	1810	592	329
GLDK	2299	1897	592	297
YPO2534	2299	7629	592	11
YGDR	2303	1749	590	354
AROF	2304	1121	589	900
SSCG_05191	2305	5585	588	25
ND6	2306	1439	585	561
YDJI	2307	3001	584	100
BMUL_4161	2307	8686	584	0
EPCAM	2309	1425	581	572
AQP8	2309	1710	581	376
YBFH	2309	2703	581	128
HGDA	2312	879	580	1448
YHBY	2312	1800	580	333
OCAR_6246	2312	2975	580	102
VBSC	2312	3708	580	61
VICR	2316	1573	579	460
SSUC	2316	1980	579	267
YQZC	2316	8686	579	0
CPN_0206	2316	8686	579	0
THEXY_0761	2320	3250	577	83
TERY_3118	2321	2181	574	214
CRH	2321	4040	574	50
DEGS	2323	2023	573	254
BL03512	2323	3424	573	73
OCAR_5486	2325	1685	572	394
AGNC	2326	1749	568	354
ATP1B1	2327	1445	567	558
CSN1	2327	2553	567	146
FDOH	2327	3096	567	93
FAT1	2330	1295	565	693
NIFS	2330	2419	565	167
KDGF	2332	1774	564	342
COBI	2333	2867	563	111
BL02215	2333	4291	563	44
SP_1391	2333	8686	563	0
FADH	2336	2440	562	164
ELI_2406	2337	1509	561	507
XYLG	2337	1991	561	265
YHAO	2337	2293	561	191
LIN2373	2337	8686	561	0
ALST	2341	2208	560	207
RSIV	2341	4600	560	38
ACTN4	2343	1327	559	657
PROV	2344	3087	558	94
YOHK	2344	5072	558	31
BL01921	2346	8686	557	0
PDUD	2347	1826	556	323
FLHB2	2348	1643	553	416
FOKIM	2348	4546	553	39
NIST	2348	5690	553	24
UMUD	2348	7463	553	12
PC0405	2352	2918	552	106
OPUCC	2352	4160	552	47
FLBD	2352	6180	552	20
DSG2	2355	1602	551	440
THRB	2355	1999	551	262
SCOA	2357	2293	550	191
ANSME	2357	3111	550	92
IOLG	2359	3373	548	76
EUTJ	2360	2123	547	226
LACL	2360	2440	547	164
PDAB	2362	2381	546	174
YKVP	2362	8686	546	0
OCAR_6418	2364	4441	543	41
YBHK	2365	2011	542	256
NHAC-2	2366	3679	541	62
MSMG	2367	1504	540	512
YWDH	2367	1577	540	457
PHOC	2369	1917	539	290
OCAR_6282	2369	8686	539	0
YBBK	2371	2038	535	250
RMUC	2371	5148	535	30
MHPC	2371	8686	535	0
BFRB	2374	1391	534	595
NLPC	2374	8686	534	0
RHOM_02065	2376	2888	533	109
LSRD	2377	3111	532	92
RHOM_13735	2377	3208	532	85
CDHR5	2379	1640	531	417
TAUB	2379	1965	531	275
THIT	2379	2468	531	159
BMUL_3301	2382	6769	530	16
TRESU_0724	2383	1615	529	434
BL02383	2383	2194	529	211
ENTB	2383	3999	529	51
PORQ	2383	8686	529	0
YCGL	2387	2326	528	184
HDEN_0178	2387	8686	528	0
MXD1	2389	1878	527	303
CBC4_0884	2389	2604	527	140
FCGBP	2391	626	526	2589
USPA	2391	1621	526	431
YFCE	2391	1798	526	334
YJGR	2391	2092	526	235
FLUTA_0256	2391	5585	526	25
C19ORF21	2396	1768	525	346
FBPC2	2396	1858	525	312
PDXJ	2398	1655	524	411
LACM	2398	2211	524	206
AMRA	2398	6433	524	18
NARK	2401	1898	523	296
SFUB	2401	1959	523	276
TFOX	2403	1509	521	507
SP_1809	2403	8686	521	0
LSRA	2405	2595	520	141
BL01900	2406	4985	518	32
YDEP	2407	1368	517	617
YABM	2407	5395	517	27
BL05185	2407	8686	517	0
THA_2007	2410	1948	515	279
SPAK	2410	2527	515	150
CKL_1924	2410	8686	515	0
HEMB	2413	1562	514	476
SUGC	2414	559	513	3161
GCTA	2415	1066	512	968
RACD	2415	2629	512	135
RLUF	2415	2780	512	120
DTOX_0628	2418	1317	511	669
SPSA	2418	8686	511	0
YADS	2420	2350	510	180
SP_1863	2420	4390	510	42
MYH9	2422	1413	509	581
PEPA	2423	3931	507	53
AASI_1740	2424	8686	506	0
PDXS	2425	1123	505	899
TTHE_0044	2425	1558	505	477
ICTB	2425	3192	505	86
YKFC	2428	8686	502	0
ERBB2IP	2429	1538	501	489
SCLAV_5169	2429	2473	501	158
YBTQ	2429	8686	501	0
SIGE	2432	1298	500	691
ADHB	2433	1572	499	461
SP_1221	2433	1710	499	376
SCLAV_0978	2435	8686	498	0
ASPB	2436	1942	497	281
COTS	2437	2830	496	115
SPTBN1	2438	1486	495	525
SPS1	2438	2369	495	176
AACC	2438	4839	495	34
SCLAV_0613	2441	3156	494	89
YESW	2441	3872	494	55
ENC_18950	2443	1929	493	287
HEPS	2443	6027	493	21
4HBD	2443	6950	493	15
MALR	2446	1132	492	882
CYP2D6	2446	1268	492	726
PAND	2446	1730	492	367
SPOIIGA	2446	8686	492	0
AMAA	2450	2585	491	142
COBQ	2451	1567	489	472
CTNNB1	2451	1798	489	334
MCRB	2453	2759	488	122
DNDD	2453	5690	488	24
KSE_05750	2453	8686	488	0
NAGD	2456	1696	487	389
PANE	2456	1948	487	279
LOLA	2456	4291	487	44
MDMC	2456	4712	487	36
RDLA	2456	8686	487	0
TGM3	2461	1507	486	510
IDHA	2461	1509	486	507
SLGD_00085	2461	2230	486	201
YWJB	2464	1853	485	313
TREB	2464	1957	485	277
Y3586	2464	4341	485	43
OCAR_4885	2467	1628	483	424
BGA	2467	1805	483	332
YBIR	2467	4073	483	49
CLOCL_0745	2470	999	482	1094
RAGF	2470	2553	482	146
APPC	2472	1984	481	266
YUID	2472	6433	481	18
DHBF	2472	8686	481	0
MINE	2475	2856	479	112
PSEG	2475	8686	479	0
GLPP	2477	5585	478	25
PLAV_1177	2477	6180	478	20
EPS8L3	2479	1917	477	290
YLBA	2480	1818	476	326
MUTM	2480	2759	476	122
LLDD	2482	1314	475	672
BMUL_0473	2482	1535	475	490
LSRC	2482	3156	475	89
SODA	2485	671	474	2319
QUED	2485	1733	474	366
AMSD	2485	8686	474	0
PDUT	2488	2127	472	225
OPPF3	2489	2424	471	166
RGPEC	2489	5230	471	29
GSHA	2489	5309	471	28
PEB1A	2492	3488	470	70
YQFD	2492	7103	470	14
EUTB	2494	1389	469	596
KORB	2494	1861	469	311
PPA	2496	1691	468	391
CPSB	2496	8467	468	6
LTAS	2498	1470	467	539
HINT	2499	1425	465	572
KIF13B	2499	1632	465	422
BL05187	2501	8686	464	0
COF	2501	8686	464	0
SLC26A2	2503	1886	463	300
EPSH	2503	7989	463	9
AROD	2505	2473	462	158
SODC	2506	2184	461	213
SCLAV_5650	2506	3268	461	82
RUMAL_0840	2506	3872	461	55
FSR	2509	2947	459	104
COBL	2509	3632	459	64
RC1_0981	2509	8686	459	0
MNHB2	2512	1910	458	292
ARGE	2512	3059	458	96
Y3584	2512	8686	458	0
YNEP	2515	2545	457	147
ODOSP_1438	2515	2585	457	142
YHDN	2515	3787	457	58
LP_2003	2515	5481	457	26
PAAI	2515	8686	457	0
TKTN	2520	4160	456	47
TRAM	2520	4839	456	34
YSNE	2520	8175	456	8
CKMT1B	2523	1906	454	293
SCLAV_5415	2523	8686	454	0
HALHY_0482	2525	1188	453	816
MDEA	2525	2533	453	148
MLEP3	2527	8686	450	0
ABCB1	2528	1542	449	487
GK0350	2528	1585	449	452
WECD	2528	3965	449	52
VSAL_I0171	2531	2464	448	160
RRMA	2531	2881	448	110
NIMA	2531	4249	448	45
APOA4	2534	1531	447	491
TEPA	2534	1794	447	335
KPTA	2534	3017	447	99
PFLC	2537	1714	445	375
BPHY_4855	2537	3708	445	61
TRESU_0550	2537	4390	445	42
PAAK-3	2540	1527	444	493
ARSB	2540	1868	444	307
EPSN	2542	8686	443	0
YWQM	2542	8686	443	0
HCAN_0043	2544	3318	441	79
MENF	2545	3156	440	89
YBFG	2545	3488	440	70
RBN	2547	1602	439	440
LAMA3	2547	1608	439	438
RBSC-1	2547	2350	439	180
YABQ	2547	8686	439	0
DMPA	2551	2326	437	184
MALD	2552	8686	436	0
OCAR_4032	2553	8686	435	0
ENC_19000	2554	1585	434	452
CAS4	2554	2023	434	254
YAAR	2554	2102	434	232
SXCC_00226	2554	8686	434	0
PILE	2554	8686	434	0
PHUW	2559	4116	433	48
CCPA	2560	1319	432	667
ARTP	2560	5395	432	27
YNEA	2560	8686	432	0
DPS	2563	1149	431	862
GLVC	2564	1933	430	285
XDHC	2564	8686	430	0
SLC44A4	2566	1976	429	269
MENC	2566	3787	429	58
FG02069,1	2566	8686	429	0
MT0709	2569	3411	428	74
DEGU	2569	4199	428	46
CLEC2D	2571	1826	427	323
BCGIA	2571	1831	427	321
BLAI	2571	1975	427	270
PRPA	2571	2147	427	221
CLCAR_1351	2575	5072	426	31
LGTF	2576	8686	425	0
RSBW	2577	1148	423	863
GCTB	2578	1228	422	769
EIF4G2	2579	1921	420	289
BL05028	2579	6769	420	16
PFPB	2581	1181	419	824
DMR_01520	2581	2625	419	136
APL	2581	2867	419	111
PEPDA	2584	1980	418	267
XYN5A	2584	2780	418	120
WALR	2584	2849	418	113
RBSC-2	2587	1921	416	289
YHFR	2587	5805	416	23
CPS1B	2589	6607	415	17
SAV_263	2589	7283	415	13
MEMAR_1328	2589	8686	415	0
MECR	2592	7103	414	14
Y3585	2593	5309	413	28
CSM1	2594	8686	412	0
BIOC	2594	8686	412	0
CDH17	2596	1615	411	434
DDX5	2596	1708	411	378
YRDC	2596	8686	411	0
YSNB	2599	2975	410	102
SCLAV_3916	2599	4767	410	35
MALS	2599	6027	410	21
ARAC	2599	8686	410	0
ENHC	2603	8686	409	0
GALE2	2604	5585	408	25
YOHJ	2604	7989	408	9
DYNC1H1	2606	1428	407	571
SDHB	2606	1623	407	429
SPEE	2606	1845	407	316
GRAR	2606	1945	407	280
YXIO	2606	2095	407	234
TPL	2611	1445	406	558
OMPR	2611	1889	406	299
YAAH	2613	2164	405	218
PILM	2613	8467	405	6
TRKB	2613	8686	405	0
MANX	2616	950	404	1229
TM4SF20	2616	2018	404	255
SLGD_00083	2616	2506	404	153
YFBR	2616	2684	404	129
HCAN_0220	2616	2745	404	123
FLGJ	2621	2678	403	130
BAS5121	2621	8686	403	0
SLC20A1	2623	1898	402	296
PDUJ	2623	2639	402	134
HSDS1	2623	2738	402	124
YBDL	2626	1392	401	594
YVKB	2626	2042	401	249
KKA	2626	4199	401	46
CSM3	2626	8686	401	0
Y3868	2630	1436	400	564
RFAY	2630	8590	400	5
BGAC	2632	1165	399	839
RGPD	2632	2196	399	210
LICA	2634	1588	398	451
SPED	2635	1858	397	312
YAFF	2635	8686	397	0
PGUG_00849	2635	8686	397	0
WCFX	2638	3017	395	99
ALDOA	2639	1647	394	414
PATA	2639	2023	394	254
SPOVFA	2641	3657	393	63
TXE	2642	1073	392	960
YXBA	2642	1399	392	590
CEL9B	2642	8175	392	8
ITM2B	2645	1772	391	343
UBIA	2645	3017	391	99
EZR	2647	1704	390	382
IORA-2	2647	2112	390	229
GM18_2029	2647	2388	390	173
UIDA	2647	2392	390	172
GLTS	2651	2414	388	168
FNOD_0066	2651	3488	388	70
CAIB	2653	4291	387	44
YTQB	2653	4902	387	33
SCLAV_2781	2653	8686	387	0
APOA1	2656	1698	386	387
SCLAV_3130	2656	8686	386	0
SSUA	2658	1038	385	1019
VIL1	2659	1652	384	412
VSAL_I0167	2659	3192	384	86
FHUB	2659	3679	384	62
ADD	2659	6769	384	16
YTFJ	2663	3965	383	52
RNASEL	2664	1898	382	296
CVRA	2664	3001	382	100
CKL_1873	2664	8686	382	0
ARCB	2667	1659	381	408
CYP2C18	2667	1845	381	316
EUTH	2667	2381	381	174
R03212	2667	2867	381	111
MAG	2671	2684	379	129
KDSC	2671	2772	379	121
ROB	2671	3351	379	77
DNDC	2671	4441	379	41
SCLAV_0086	2671	7283	379	13
FAHA	2676	2147	378	221
FABP2	2677	1611	377	435
ARAJ	2677	3900	377	54
YEIE	2677	7463	377	12
OCAR_4152	2677	7463	377	12
BSPAL1	2677	8686	377	0
TAX1BP1	2682	1813	376	328
BPET1060	2682	1838	376	318
PSTC	2682	1999	376	262
IOLB	2682	2074	376	240
EUTA	2682	4985	376	32
MENE	2682	5481	376	26
METB	2688	2419	375	167
SPLB	2688	2639	375	134
FLNB	2690	1768	373	346
SMG1	2691	1623	372	429
BL01743	2691	1997	372	263
SP_1023	2691	8686	372	0
FTL	2694	2049	371	247
BL03601	2694	2361	371	177
YFHL	2694	2684	371	129
SCLAV_5616	2694	8686	371	0
YJBH	2698	1359	370	630
YLZA	2699	2553	369	146
TNPB	2699	3318	369	79
PSP1	2699	3578	369	66
SP_1914	2699	8686	369	0
MSMR	2703	4116	368	48
YABP	2704	2440	367	164
SP_1519	2704	4767	367	35
ARDC	2706	1929	366	287
SFSA	2706	2906	366	107
ANT_21350	2706	4501	366	40
BPR_I0156	2709	1924	365	288
BVU_0431	2709	2451	365	162
BTUS_0393	2711	5072	364	31
CTPC	2712	3596	363	65
CPHY_1803	2712	4341	363	43
SSCG_02379	2712	5805	363	23
ANMK	2715	2791	362	119
VFU_A01915	2715	8686	362	0
YRXA	2717	3632	361	64
TKTC	2717	5230	361	29
YPO0843	2719	1916	360	291
BMUL_2593	2719	5481	360	26
GLDN	2719	8333	360	7
FUMC	2722	1702	359	383
BAS2159	2722	8686	359	0
RESC	2724	3845	358	56
PAT	2725	2595	357	141
SP_2027	2725	5230	357	29
BSH	2727	1356	356	632
MRNC	2727	2610	356	139
METX	2727	2843	356	114
PNCA	2730	5690	355	24
MCON_0603	2730	6950	355	15
DSBC	2730	8686	355	0
ABFD	2733	1311	354	678
PDUQ	2733	2401	354	171
NARI	2733	4160	354	47
SCLAV_4687	2733	8686	354	0
FECR2	2737	8686	352	0
TOCE_0188	2738	1341	351	642
VORD	2738	2458	351	161
VSAL_I0172	2738	3351	351	77
NANB	2738	8686	351	0
MOAB	2742	2451	350	162
YEDF	2743	1845	349	316
FUCP	2743	3141	349	90
SCLAV_4397	2743	8686	349	0
AZOR	2746	7989	348	9
SERPINB1	2747	1717	347	374
PLAV_1176	2748	7629	346	11
PHAA	2748	8686	346	0
BSEL_0404	2750	1686	345	393
REPA	2750	2335	345	183
GABT	2750	3531	345	68
BMUL_5568	2750	4767	345	35
MT1922	2750	6180	345	20
BL02684	2750	8686	345	0
SP_0496	2756	1737	344	364
HISE	2756	2219	344	205
ELI_1261	2756	7103	344	14
KRT19	2759	1772	343	343
ESA_03437	2759	3250	343	83
GLOB	2759	4199	343	46
LEVD	2762	1475	342	535
AKAP13	2762	1889	342	299
HELZ	2762	2424	342	166
MSMEG_1026	2762	8686	342	0
FEMA	2766	3509	341	69
VPS4	2766	8686	341	0
SFCA	2768	3999	340	51
DCTM	2769	1800	338	333
SPINT2	2769	2575	338	143
AMYC	2769	3017	338	99
LGAS_0609	2769	8686	338	0
RV0561C	2773	2286	337	193
SP_1213	2773	2684	337	129
DSDA	2773	2745	337	123
OCAR_6155	2773	3509	337	69
CVAR_1349	2773	8686	337	0
PBP2B	2778	1924	336	288
FJOH_2667	2778	8686	336	0
BL03493	2778	8686	336	0
ACCB	2781	3170	335	88
NAHC	2782	3156	334	89
MSMF	2783	1730	333	367
YPHH	2783	1758	333	351
SCOB	2783	1774	333	342
RECU	2786	1262	332	734
SKFE	2786	2074	332	240
LANM	2786	8686	332	0
BMUL_5621	2789	8686	331	0
ASRA	2790	2029	330	253
THEWI_0358	2790	2527	330	150
